epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2321.15,1.0297,0.49742,0.01014,0.78108,0.75001,0.74872,0.51424,1.03127,0.45788,0.01672,0.000544776,0.000544776,0.000544776
70,2356.47,1.08429,0.54772,0.01006,0.67025,0.75517,0.68675,0.48424,1.0462,0.49714,0.01769,0.000528272,0.000528272,0.000528272
71,2398.99,1.03996,0.4942,0.0095,0.863,0.81609,0.82191,0.54976,0.98635,0.41899,0.01621,0.000511769,0.000511769,0.000511769
72,2432.69,1.02908,0.46457,0.00965,0.71773,0.84371,0.75017,0.5318,1.02113,0.43792,0.01687,0.000495266,0.000495266,0.000495266
73,2467.49,1.01143,0.47972,0.00976,0.83184,0.79348,0.79148,0.51329,1.03801,0.41571,0.01699,0.000478762,0.000478762,0.000478762
74,2500.38,1.02622,0.47894,0.00957,0.78573,0.79425,0.74094,0.51661,1.05833,0.44777,0.01727,0.000462259,0.000462259,0.000462259
75,2534.45,1.02697,0.48534,0.00998,0.84383,0.82759,0.83393,0.56616,1.02825,0.42108,0.01635,0.000445756,0.000445756,0.000445756
76,2573,1.00279,0.44274,0.00938,0.79738,0.77515,0.76788,0.54771,1.05455,0.47363,0.01664,0.000429253,0.000429253,0.000429253
77,2605.66,0.97834,0.46574,0.00924,0.79205,0.86092,0.82542,0.57785,0.97934,0.43831,0.01558,0.000412749,0.000412749,0.000412749
78,2652.46,0.98283,0.46065,0.00922,0.85746,0.82184,0.79594,0.56826,1.00363,0.43558,0.01626,0.000396246,0.000396246,0.000396246
79,2684.86,0.94117,0.45132,0.00888,0.86342,0.71472,0.74764,0.5227,1.04525,0.49118,0.01735,0.000379743,0.000379743,0.000379743
80,2728.2,0.9237,0.41413,0.0088,0.82952,0.82184,0.78883,0.57061,0.97396,0.43774,0.01567,0.000363239,0.000363239,0.000363239
81,2767.43,0.92739,0.42405,0.00843,0.80702,0.81149,0.78723,0.56117,0.98788,0.40341,0.01634,0.000346736,0.000346736,0.000346736
82,2801.9,0.90763,0.46793,0.00831,0.8956,0.81252,0.83514,0.59768,0.96947,0.41787,0.01565,0.000330233,0.000330233,0.000330233
83,2846.03,0.93225,0.43142,0.00891,0.79066,0.69258,0.74882,0.54687,0.97717,0.48012,0.01583,0.000313729,0.000313729,0.000313729
84,2877.43,0.89744,0.40981,0.00808,0.83396,0.76092,0.80104,0.57474,0.98913,0.45916,0.01576,0.000297226,0.000297226,0.000297226
85,2916.72,0.91399,0.42794,0.00829,0.88078,0.79241,0.80025,0.56688,0.99192,0.42822,0.01585,0.000280723,0.000280723,0.000280723
86,2949.22,0.89943,0.41891,0.00828,0.81455,0.82759,0.81693,0.59839,0.96964,0.36782,0.01559,0.00026422,0.00026422,0.00026422
87,2981.15,0.90224,0.41221,0.00824,0.89513,0.78851,0.81113,0.59908,0.98174,0.42818,0.01594,0.000247716,0.000247716,0.000247716
88,3021.26,0.92226,0.40637,0.00902,0.85261,0.82271,0.80211,0.59204,0.97677,0.40554,0.01562,0.000231213,0.000231213,0.000231213
89,3061.5,0.90068,0.43484,0.00843,0.84782,0.82638,0.80162,0.58292,0.9975,0.36959,0.01637,0.00021471,0.00021471,0.00021471
90,3093.91,0.89953,0.39779,0.00843,0.82674,0.79425,0.81545,0.59623,0.97526,0.42384,0.01551,0.000198206,0.000198206,0.000198206
91,3127.98,0.79949,0.30702,0.00935,0.81651,0.86217,0.81417,0.59406,0.98788,0.36863,0.01626,0.000181703,0.000181703,0.000181703
92,3159.74,0.78157,0.30691,0.00884,0.81619,0.83774,0.78632,0.57038,0.99271,0.4002,0.01617,0.0001652,0.0001652,0.0001652
93,3191.46,0.74427,0.27626,0.00849,0.85228,0.79425,0.80894,0.58587,0.9768,0.39685,0.01622,0.000148696,0.000148696,0.000148696
94,3223.45,0.7586,0.27018,0.00871,0.82348,0.82759,0.79992,0.59612,0.92824,0.44538,0.01463,0.000132193,0.000132193,0.000132193
95,3255.8,0.75457,0.2619,0.0088,0.85574,0.79571,0.8057,0.59807,0.90323,0.43648,0.01396,0.00011569,0.00011569,0.00011569
96,3288.22,0.70204,0.26716,0.00808,0.91033,0.82759,0.81441,0.6017,0.93438,0.45577,0.01451,9.91865e-05,9.91865e-05,9.91865e-05
97,3322.11,0.71263,0.26408,0.00815,0.93309,0.79402,0.80985,0.6055,0.91168,0.45575,0.014,8.26832e-05,8.26832e-05,8.26832e-05
98,3358.75,0.71017,0.26405,0.00796,0.93908,0.78456,0.81553,0.60489,0.9076,0.44448,0.01402,6.61799e-05,6.61799e-05,6.61799e-05
99,3391.26,0.70027,0.25338,0.00784,0.90284,0.79407,0.82553,0.59943,0.90598,0.47193,0.01409,4.96766e-05,4.96766e-05,4.96766e-05
100,3433.41,0.70307,0.25954,0.00803,0.91962,0.78386,0.80746,0.6002,0.90701,0.45695,0.01415,3.31733e-05,3.31733e-05,3.31733e-05
